protocol,mechanisms,seed,features,model,accuracy,bal_acc,eer,auc,fold
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),LR,78.33766233766234,78.33766233766234,21.753246753246753,0.8651413729128016,2.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),RF,89.72727272727272,89.72727272727272,10.467532467532468,0.9622919210659471,2.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),KNC,92.6103896103896,92.6103896103896,6.038961038961037,0.9747280485748018,2.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,GNB,66.71428571428571,66.71428571428571,32.714285714285715,0.7407063585764884,3.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,LR,80.93506493506494,80.93506493506494,19.155844155844154,0.8946915162759318,3.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,RF,94.12987012987013,94.12987012987013,6.155844155844157,0.9824406813965256,3.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,KNC,93.53246753246754,93.53246753246754,2.6753246753246778,0.9845150952943159,3.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),GNB,68.76623376623377,68.76623376623377,30.428571428571427,0.785326159554731,3.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),LR,78.31168831168831,78.31168831168831,21.68831168831169,0.8681598245909935,3.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),RF,89.79220779220779,89.79220779220779,10.14285714285714,0.964779760499241,3.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),KNC,92.66233766233766,92.66233766233766,5.5844155844155825,0.9779949738573116,3.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,GNB,66.71428571428571,66.71428571428571,32.67532467532468,0.744557092258391,4.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,LR,80.9090909090909,80.9090909090909,19.03896103896104,0.8909679203912971,4.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,RF,93.94805194805194,93.94805194805195,6.025974025974025,0.9835834036093776,4.0
P3_presplit_smote_kfold,M1+M2,3,MFCC,KNC,93.84415584415584,93.84415584415584,2.441558441558444,0.9859096306291112,4.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),GNB,69.12987012987013,69.12987012987013,30.33766233766234,0.7906247259234271,4.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),LR,78.11688311688312,78.11688311688312,21.87012987012987,0.8678380165289254,4.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),RF,90.32467532467533,90.32467532467533,9.480519480519483,0.9670229718333614,4.0
P3_presplit_smote_kfold,M1+M2,3,Transfer(GNB+NMF),KNC,92.84415584415584,92.84415584415584,4.844155844155844,0.9806915500084331,4.0
P0_speaker_disjoint,none,4,MFCC,GNB,70.62992125984252,70.6135193505015,29.160178010779962,0.777512842509402,
P0_speaker_disjoint,none,4,MFCC,LR,82.6509186351706,82.65520621455926,17.139655348687118,0.9044375654664157,
P0_speaker_disjoint,none,4,MFCC,RF,85.30183727034121,85.34533336236063,12.59843214048621,0.952278858202327,
P0_speaker_disjoint,none,4,MFCC,KNC,84.64566929133859,84.7021262582435,13.58309112539266,0.915620696715608,
P0_speaker_disjoint,none,4,Transfer(GNB+NMF),GNB,74.01574803149606,73.99671899754435,25.511847130528288,0.8370010601391271,
P0_speaker_disjoint,none,4,Transfer(GNB+NMF),LR,82.25721784776903,82.25287969556618,17.79520823728377,0.9051604001246705,
P0_speaker_disjoint,none,4,Transfer(GNB+NMF),RF,83.46456692913385,83.53042037120576,14.934334480921768,0.9429514526827142,
P0_speaker_disjoint,none,4,Transfer(GNB+NMF),KNC,83.83202099737532,83.87276787252095,13.74145061314181,0.9118075578798209,
P1_random_holdout,M2,4,MFCC,GNB,65.74915606336018,65.74794675729255,33.939245593451204,0.7282806705236612,
P1_random_holdout,M2,4,MFCC,LR,80.29083354972735,80.2907445617726,19.761095602217093,0.8821910695742472,
P1_random_holdout,M2,4,MFCC,RF,90.28823682160477,90.28757535299592,9.529986109425362,0.9647705357985732,
P1_random_holdout,M2,4,MFCC,KNC,94.7286419111919,94.72739410122588,3.7656673544524013,0.9876547855052529,
P1_random_holdout,M2,4,Transfer(GNB+NMF),GNB,68.91716437289016,68.9165891221966,30.719315990344025,0.7849766017990316,
P1_random_holdout,M2,4,Transfer(GNB+NMF),LR,78.23941833290054,78.2393898935955,21.734609108440885,0.8624417742174751,
P1_random_holdout,M2,4,Transfer(GNB+NMF),RF,86.96442482472085,86.96461274965948,13.16540572615339,0.947461531199849,
P1_random_holdout,M2,4,Transfer(GNB+NMF),KNC,91.24902622695403,91.24730617253982,7.1932812773934245,0.9697483513371364,
P2_random_kfold,M2,4,MFCC,GNB,65.62784054018958,65.6272919498056,34.099468176591,0.724194963696392,0.0
P2_random_kfold,M2,4,MFCC,LR,80.37917153616412,80.37921335999756,19.58187281427998,0.8843150202173833,0.0
P2_random_kfold,M2,4,MFCC,RF,90.41682898324893,90.41660624496252,9.8558613549525,0.9645043453041375,0.0
P2_random_kfold,M2,4,MFCC,KNC,94.50720685625244,94.50658793297069,3.9476978487625063,0.9856140587535029,0.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),GNB,68.43267108167771,68.43229790204602,30.69731255501185,0.7879221116458197,0.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),LR,78.0418127515907,78.04197594148256,21.99714359906518,0.8602401130419827,0.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),RF,86.27450980392157,86.27479791047695,13.296974643118503,0.943205239320534,0.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),KNC,91.55953772237372,91.558795657731,7.440651272902639,0.9692107969931911,0.0
P2_random_kfold,M2,4,MFCC,GNB,66.13426827684717,66.13490845690274,33.15153763400972,0.7323330759087705,1.0
P2_random_kfold,M2,4,MFCC,LR,81.02843786521231,81.02843585912919,18.98454778148364,0.8887275020487173,1.0
P2_random_kfold,M2,4,MFCC,RF,91.24788988443059,91.24809545167894,8.959872119570896,0.968052420184334,1.0
P2_random_kfold,M2,4,MFCC,KNC,94.80586936761459,94.80647293501097,3.895422676518498,0.9869086794794404,1.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),GNB,69.12089339046878,69.12128069282055,30.450593032000455,0.7798262215582391,1.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),LR,78.7560057135437,78.7560525685688,21.218023991069952,0.867019799208841,1.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),RF,86.9757174392936,86.97560761751882,12.933385492720728,0.9485719007038145,1.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),KNC,91.68939098818335,91.69011253612655,7.414640150812576,0.9708552340933541,1.0
P2_random_kfold,M2,4,MFCC,GNB,65.75324675324676,65.75324675324676,34.01298701298702,0.7243780064091752,2.0
P2_random_kfold,M2,4,MFCC,LR,80.35064935064935,80.35064935064935,19.701298701298704,0.8853725754764717,2.0
P2_random_kfold,M2,4,MFCC,RF,90.20779220779221,90.20779220779221,9.688311688311689,0.9648681396525552,2.0
P2_random_kfold,M2,4,MFCC,KNC,94.45454545454545,94.45454545454545,4.000000000000002,0.9861245403946703,2.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),GNB,68.83116883116884,68.83116883116884,30.83116883116883,0.7818867262607523,2.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),LR,77.67532467532467,77.67532467532467,22.376623376623378,0.8605689323663351,2.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),RF,85.4155844155844,85.4155844155844,14.298701298701296,0.9409763535166132,2.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),KNC,91.36363636363637,91.36363636363636,7.441558441558444,0.9701283858998144,2.0
P2_random_kfold,M2,4,MFCC,GNB,66.35064935064935,66.35064935064935,33.37662337662337,0.7369921740597065,3.0
P2_random_kfold,M2,4,MFCC,LR,80.94805194805194,80.94805194805194,18.92207792207792,0.8892354191263282,3.0
P2_random_kfold,M2,4,MFCC,RF,90.15584415584415,90.15584415584415,9.805194805194803,0.9644164614606173,3.0
P2_random_kfold,M2,4,MFCC,KNC,94.7012987012987,94.70129870129871,4.259740259740262,0.9850450328891888,3.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),GNB,68.24675324675324,68.24675324675324,30.97402597402597,0.7816549839770619,3.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),LR,78.46753246753246,78.46753246753246,21.545454545454547,0.8641305447798955,3.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),RF,86.72727272727273,86.72727272727273,12.87012987012987,0.9469275088547815,3.0
P2_random_kfold,M2,4,Transfer(GNB+NMF),KNC,90.98701298701299,90.98701298701299,7.857142857142857,0.9691923089897116,3.0
