target,seed,pred_rate,near_thresh,otsu,otsu_gap,score_mean,score_median,score_std,eer,auc,acc,deficit
dataset2,7,0.514504160107938,0.041376208680009,0.513671875,0.013671875,0.5251270541809527,0.5860491394996643,0.4440950199330874,35.709501068725025,0.6958762917892534,63.61592084551383,0.674578085761155
dataset2,8,0.7503935237238588,0.05554306273892512,0.564453125,0.064453125,0.7458156922174509,0.9924227595329285,0.3637684310688234,30.604856678327323,0.7515303349130469,60.17539914549134,9.219744176181337
dataset2,9,0.4142118281987857,0.0350798290982685,0.486328125,0.013671875,0.4151970519901016,0.10087861120700836,0.450937660198616,35.01255311751604,0.7225966436246232,65.88711490892737,-0.8996680264434076
in_the_wild,0,0.5626666666666666,0.0185,0.505859375,0.005859375,0.5658659810628255,0.9670388102531433,0.47280075892304374,12.783333333333335,0.9423819444444446,87.16666666666667,0.04999999999999716
in_the_wild,1,0.7568333333333334,0.02,0.521484375,0.021484375,0.756181594021561,0.9999951720237732,0.40371806287536594,12.3,0.9474251666666668,73.85000000000001,13.849999999999994
in_the_wild,2,0.7745,0.018,0.525390625,0.025390625,0.7725562127479411,0.9998902082443237,0.388654003853394,12.466666666666667,0.9394881666666666,72.15,15.383333333333326
in_the_wild,3,0.7621666666666667,0.018166666666666668,0.521484375,0.021484375,0.7591732258912162,0.9999885559082031,0.39849250847362466,13.083333333333336,0.9456724444444444,73.71666666666667,13.199999999999989
in_the_wild,4,0.6075,0.018333333333333333,0.509765625,0.009765625,0.6118631811581583,0.9972206950187683,0.4633813144896811,10.266666666666666,0.9643667777777778,86.78333333333333,2.950000000000003
in_the_wild,5,0.6088333333333333,0.019,0.505859375,0.005859375,0.6091333619618482,0.9931295216083527,0.46436108032309,10.783333333333333,0.9599331111111111,86.41666666666666,2.8000000000000114
in_the_wild,6,0.699,0.025666666666666667,0.517578125,0.017578125,0.7034034274582156,0.9999030828475952,0.4219474022485271,7.916666666666669,0.9738654999999999,79.5,12.583333333333329
in_the_wild,7,0.6848333333333333,0.017,0.517578125,0.017578125,0.687021280562912,0.9999393820762634,0.43845003976471264,9.866666666666667,0.9612722777777778,80.95,9.183333333333323
