target,seed,phase,overall_auc,overall_eer,generator,n_fake,auc,eer
dataset2,3,source,0.6899698708989878,37.03641193329343,PromptTTS2,25,0.9903869832893579,4.257130693912303
dataset2,3,source,0.6899698708989878,37.03641193329343,VALLE,95,0.8978313197241123,16.9237012987013
dataset2,3,source,0.6899698708989878,37.03641193329343,VoiceBox,104,0.9488511433597187,12.910008410428933
dataset2,3,source,0.6899698708989878,37.03641193329343,seedtts_files,599,0.3853733061405479,58.26377295492473
dataset2,3,source,0.6899698708989878,37.03641193329343,xTTS,600,0.8690970389914981,22.031662269210386
dataset2,3,adapted,0.6947995730766288,36.271456967071295,FlashSpeech,118,0.8678782254818658,20.338983050835754
dataset2,3,adapted,0.6947995730766288,36.271456967071295,NaturalSpeech3,32,0.7519582783641161,31.266490765173536
dataset2,3,adapted,0.6947995730766288,36.271456967071295,OpenAI,600,0.6839709762532982,36.45558487237693
dataset2,3,adapted,0.6947995730766288,36.271456967071295,PromptTTS2,25,0.9904837291116975,4.573438874296692
dataset2,3,adapted,0.6947995730766288,36.271456967071295,VALLE,95,0.9063000509188539,16.842105263157894
dataset2,3,adapted,0.6947995730766288,36.271456967071295,VoiceBox,104,0.9503733678370881,12.401055408794507
dataset2,3,adapted,0.6947995730766288,36.271456967071295,seedtts_files,599,0.3735311564422087,58.43071786310517
dataset2,3,adapted,0.6947995730766288,36.271456967071295,xTTS,600,0.8991666666666667,18.83333333333334
dataset2,4,source,0.6673764854589851,38.67728227737796,FlashSpeech,118,0.8101754542879718,26.868953386019413
dataset2,4,source,0.6673764854589851,38.67728227737796,NaturalSpeech3,32,0.79521218117854,28.125
dataset2,4,source,0.6673764854589851,38.67728227737796,OpenAI,600,0.6237628261506889,41.85377086931491
dataset2,4,source,0.6673764854589851,38.67728227737796,PromptTTS2,25,0.9795866314863677,7.6077396657454335
dataset2,4,source,0.6673764854589851,38.67728227737796,VALLE,95,0.8635698745544601,20.36059806508633
dataset2,4,source,0.6673764854589851,38.67728227737796,VoiceBox,104,0.9479737500845681,11.538461538461526
dataset2,4,source,0.6673764854589851,38.67728227737796,seedtts_files,599,0.34174187997292466,60.949868073858205
dataset2,4,source,0.6673764854589851,38.67728227737796,xTTS,600,0.9084707563764293,16.49999999999922
dataset2,4,adapted,0.6616634307429349,38.835283994299594,FlashSpeech,118,0.8080959408493955,27.048494983277592
dataset2,4,adapted,0.6616634307429349,38.835283994299594,NaturalSpeech3,32,0.7839572339489886,31.25
dataset2,4,adapted,0.6616634307429349,38.835283994299594,OpenAI,600,0.6244055995309294,42.49999999999996
dataset2,4,adapted,0.6616634307429349,38.835283994299594,PromptTTS2,25,0.9623043095866315,11.301671064159795
dataset2,4,adapted,0.6616634307429349,38.835283994299594,VALLE,95,0.8654839605610332,20.536499560242973
dataset2,4,adapted,0.6616634307429349,38.835283994299594,VoiceBox,104,0.9350031290169812,12.363330529857022
dataset2,4,adapted,0.6616634307429349,38.835283994299594,seedtts_files,599,0.33437545425313075,61.268781302173025
dataset2,4,adapted,0.6616634307429349,38.835283994299594,xTTS,600,0.8981658604514805,18.117854001692297
