seed,target,method,epoch,q_t,lo_frac,hi_frac,lambda_t,c_epoch,shift,pi_real,shrunk,q_max,n_conf,stopped
6,asvspoof2019,ours_gmmq,1,0.1286,0.0275,0.2297,0.3,0.0,0.212,0.1068,False,0.3,1577,
6,asvspoof2019,ours_gmmq,2,0.1571,0.0336,0.2807,0.3,0.0,0.0916,0.1068,False,0.3,1887,
6,asvspoof2019,ours_gmmq,3,0.1857,0.0397,0.3318,0.3,0.0,0.10053,0.1068,False,0.3,2229,fixed_E
7,arabic,ours_gmmq,0,0.1,0.04,0.16,0.3,,,0.1998,False,0.3,1303,
7,arabic,ours_gmmq,1,0.1286,0.0514,0.2058,0.3,0.0,0.21111,0.1998,False,0.3,1548,
7,arabic,ours_gmmq,2,0.1571,0.0628,0.2515,0.3,0.0,0.06049,0.1998,False,0.3,1887,
7,arabic,ours_gmmq,3,0.1857,0.0742,0.2972,0.3,0.0,0.05546,0.1998,False,0.3,2231,fixed_E
7,dataset2,ours_gmmq,0,0.1,0.1206,0.0794,0.3,,,0.6031,False,0.3,724,
7,dataset2,ours_gmmq,1,0.1286,0.1551,0.1021,0.3,0.0,0.14871,0.6031,False,0.3,714,
7,dataset2,ours_gmmq,2,0.1571,0.1895,0.1248,0.3,0.0,0.02234,0.6031,False,0.3,872,
7,dataset2,ours_gmmq,3,0.1857,0.224,0.1474,0.3,0.0,0.03483,0.6031,False,0.3,1030,fixed_E
7,in_the_wild,ours_gmmq,0,0.1,0.0225,0.1775,0.3,,,0.1124,False,0.3,3499,
7,in_the_wild,ours_gmmq,1,0.1286,0.0289,0.2282,0.3,0.0,0.00881,0.1124,False,0.3,4399,
7,in_the_wild,ours_gmmq,2,0.1571,0.0353,0.279,0.3,0.0,0.02424,0.1124,False,0.3,3901,
7,in_the_wild,ours_gmmq,3,0.1857,0.0417,0.3297,0.3,0.0,0.03175,0.1124,False,0.3,2580,fixed_E
7,asvspoof2019,ours_gmmq,0,0.1,0.0357,0.1643,0.3,,,0.1784,False,0.3,3389,
7,asvspoof2019,ours_gmmq,1,0.1286,0.0459,0.2113,0.3,0.0,0.13215,0.1784,False,0.3,2761,
7,asvspoof2019,ours_gmmq,2,0.1571,0.0561,0.2582,0.3,0.0,0.02186,0.1784,False,0.3,1949,
7,asvspoof2019,ours_gmmq,3,0.1857,0.0663,0.3052,0.3,0.0,0.13663,0.1784,False,0.3,2232,fixed_E
8,arabic,ours_gmmq,0,0.1,0.0462,0.1538,0.3,,,0.2311,False,0.3,1516,
8,arabic,ours_gmmq,1,0.1286,0.0594,0.1977,0.3,0.0,0.25358,0.2311,False,0.3,1545,
8,arabic,ours_gmmq,2,0.1571,0.0726,0.2417,0.3,0.0,0.02175,0.2311,False,0.3,1886,
8,arabic,ours_gmmq,3,0.1857,0.0858,0.2856,0.3,0.0,0.05059,0.2311,False,0.3,2233,fixed_E
8,dataset2,ours_gmmq,0,0.1,0.0799,0.1201,0.3,,,0.3997,False,0.3,877,
8,dataset2,ours_gmmq,1,0.1286,0.1028,0.1544,0.3,0.0,0.31612,0.3997,False,0.3,744,
8,dataset2,ours_gmmq,2,0.1571,0.1256,0.1887,0.3,0.0,0.17479,0.3997,False,0.3,875,
8,dataset2,ours_gmmq,3,0.1857,0.1485,0.223,0.3,0.0,0.07574,0.3997,False,0.3,1031,fixed_E
8,in_the_wild,ours_gmmq,0,0.1,0.0331,0.1669,0.3,,,0.1655,False,0.3,1997,
8,in_the_wild,ours_gmmq,1,0.1286,0.0426,0.2146,0.3,0.0,0.00598,0.1655,False,0.3,2271,
8,in_the_wild,ours_gmmq,2,0.1571,0.052,0.2623,0.3,0.0,0.01286,0.1655,False,0.3,2351,
8,in_the_wild,ours_gmmq,3,0.1857,0.0615,0.3099,0.3,0.0,0.01055,0.1655,False,0.3,2727,fixed_E
8,asvspoof2019,ours_gmmq,0,0.1,0.0275,0.1725,0.3,,,0.1376,False,0.3,4408,
8,asvspoof2019,ours_gmmq,1,0.1286,0.0354,0.2218,0.3,0.0,0.08143,0.1376,False,0.3,3225,
8,asvspoof2019,ours_gmmq,2,0.1571,0.0432,0.2711,0.3,0.0,0.03981,0.1376,False,0.3,2082,
8,asvspoof2019,ours_gmmq,3,0.1857,0.0511,0.3203,0.3,0.0,0.10364,0.1376,False,0.3,2230,fixed_E
9,arabic,ours_gmmq,0,0.1,0.0371,0.1629,0.3,,,0.1856,False,0.3,1645,
9,arabic,ours_gmmq,1,0.1286,0.0477,0.2094,0.3,0.0,0.19299,0.1856,False,0.3,1548,
9,arabic,ours_gmmq,2,0.1571,0.0583,0.256,0.3,0.0,0.02115,0.1856,False,0.3,1888,
9,arabic,ours_gmmq,3,0.1857,0.0689,0.3025,0.3,0.0,0.02794,0.1856,False,0.3,2234,fixed_E
9,dataset2,ours_gmmq,0,0.1,0.0982,0.1018,0.3,,,0.4912,False,0.3,603,
9,dataset2,ours_gmmq,1,0.1286,0.1263,0.1308,0.3,0.0,0.269,0.4912,False,0.3,718,
9,dataset2,ours_gmmq,2,0.1571,0.1544,0.1599,0.3,0.0,0.01792,0.4912,False,0.3,877,
