corpus,ckpt,seed,eval_sub,skew,setting,arm,n,n_pos,eer,eer_lo,eer_hi,d_vs_ref,d_lo,d_hi,d_vs_sym,dsym_lo,dsym_hi,B
itw,ssl_aasist_wavefake,0,0,0.95,available_pool,q=.10,12438,11816,4.942450914014895,3.994372037914694,5.787781350482315,0.28007149279303045,-0.16077170418006478,0.6594285065408756,-0.7128946032805811,-1.1718122023926132,-0.16077170418006478,2000
itw,ssl_aasist_wavefake,0,0,0.95,available_pool,q=.30,12438,11816,5.655345517295476,4.492950504913375,6.591639871382636,0.9929660960736115,0.32154340836012885,1.5465719996704377,0.0,0.0,0.0,2000
itw,ssl_aasist_wavefake,0,0,0.95,available_pool,BBSE,12438,11816,4.519295870006768,3.536977491961415,5.43421249029698,-0.14308355121509728,-0.45995696837355193,0.20435960105956172,-1.1360496472887087,-1.6438550757490253,-0.42540589186441286,2000
itw,ssl_aasist_wavefake,0,0,0.95,disjoint_eval,Source,4438,4229,3.4523528020808714,2.3923444976076556,5.263157894736842,0.0,0.0,0.0,-0.6035282254089878,-1.5231534534234783,0.2780364037734683,2000
itw,ssl_aasist_wavefake,0,0,0.95,disjoint_eval,q=.02,4438,4229,3.615235635894124,2.317332702766617,5.226412863561126,0.16288283381325278,-0.5510433228003675,0.30847607886619466,-0.4406453915957349,-1.5274042535983188,0.3764288014694059,2000
itw,ssl_aasist_wavefake,0,0,0.95,disjoint_eval,q=.10,4438,4229,3.8530869761153634,2.3923444976076556,5.263157894736842,0.4007341740344922,-0.47846889952153115,0.9569377990430623,-0.20279405137449552,-1.2147247964155843,0.4784688995215315,2000
itw,ssl_aasist_wavefake,0,0,0.95,disjoint_eval,q=.30,4438,4229,4.055881027489859,2.884842752423744,5.747900344783332,0.6035282254089878,-0.27803640377346867,1.5231534534234779,0.0,0.0,0.0,2000
itw,ssl_aasist_wavefake,0,0,0.95,disjoint_eval,BBSE,4438,4229,3.6367548956315914,2.2982164289555906,5.108181603215891,0.18440209355072013,-0.6051856570207275,0.3354314445130528,-0.4191261318582676,-1.5327252822797326,0.40505803514353955,2000
itw,ssl_aasist_wavefake,0,0,0.97,available_pool,Source,12181,11816,3.7435974691172076,2.9718254758721403,5.205479452054795,0.0,0.0,0.0,-1.461881982937587,-2.3432937343182885,-0.5479452054794526,2000
itw,ssl_aasist_wavefake,0,0,0.97,available_pool,q=.02,12181,11816,3.9093100331425115,3.0972833446174723,5.188305420286067,0.16571256402530404,-0.19215207326001535,0.6129164263348345,-1.2961694189122832,-2.089055516881521,-0.5443746889845833,2000
itw,ssl_aasist_wavefake,0,0,0.97,available_pool,q=.10,12181,11816,4.657534246575342,3.287671232876712,6.027567101956019,0.9139367774581353,0.027916612688873046,1.8854412251952546,-0.5479452054794519,-1.1062136624922603,0.0,2000
itw,ssl_aasist_wavefake,0,0,0.97,available_pool,q=.30,12181,11816,5.205479452054795,4.10958904109589,6.575342465753424,1.461881982937587,0.5479452054794526,2.3432937343182885,0.0,0.0,0.0,2000
itw,ssl_aasist_wavefake,0,0,0.97,available_pool,BBSE,12181,11816,3.8356164383561646,2.896745613316203,4.931506849315069,0.09201896923895711,-0.44223693572390027,0.35434313621363706,-1.36986301369863,-2.247884809841384,-0.6130367642182517,2000
itw,ssl_aasist_wavefake,0,0,0.97,disjoint_eval,Source,4181,4057,4.838709677419355,2.7606605866403733,6.774250355009036,0.0,0.0,0.0,-1.6129032258064515,-3.7960255173366946,0.0,2000
